2025-10-28 00:11:32,250 INFO    MainThread:24826 [wandb_setup.py:_flush():81] Current SDK version is 0.22.2
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_setup.py:_flush():81] Configure stats pid to 24826
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_setup.py:_flush():81] Loading settings from /home/azureuser/.config/wandb/settings
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_setup.py:_flush():81] Loading settings from /home/azureuser/powertrace-sim/wandb/settings
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_init.py:setup_run_log_directory():705] Logging user logs to /home/azureuser/powertrace-sim/wandb/run-20251028_001132-xeip54z2/logs/debug.log
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_init.py:setup_run_log_directory():706] Logging internal logs to /home/azureuser/powertrace-sim/wandb/run-20251028_001132-xeip54z2/logs/debug-internal.log
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_init.py:init():832] calling init triggers
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_init.py:init():837] wandb.init called with sweep_config: {}
config: {'tp': 2, 'hidden_size': 64, 'num_epochs': 500, 'lr': 5e-05, 'scheduler': 'cosine', 'seed': 42, 'bidirectional': True, '_wandb': {}}
2025-10-28 00:11:32,251 INFO    MainThread:24826 [wandb_init.py:init():880] starting backend
2025-10-28 00:11:32,480 INFO    MainThread:24826 [wandb_init.py:init():883] sending inform_init request
2025-10-28 00:11:32,509 INFO    MainThread:24826 [wandb_init.py:init():891] backend started and connected
2025-10-28 00:11:32,513 INFO    MainThread:24826 [wandb_init.py:init():961] updated telemetry
2025-10-28 00:11:32,542 INFO    MainThread:24826 [wandb_init.py:init():985] communicating run to backend with 90.0 second timeout
2025-10-28 00:11:33,036 INFO    MainThread:24826 [wandb_init.py:init():1036] starting run threads in backend
2025-10-28 00:11:33,149 INFO    MainThread:24826 [wandb_run.py:_console_start():2509] atexit reg
2025-10-28 00:11:33,149 INFO    MainThread:24826 [wandb_run.py:_redirect():2357] redirect: wrap_raw
2025-10-28 00:11:33,149 INFO    MainThread:24826 [wandb_run.py:_redirect():2426] Wrapping output streams.
2025-10-28 00:11:33,149 INFO    MainThread:24826 [wandb_run.py:_redirect():2449] Redirects installed.
2025-10-28 00:11:33,152 INFO    MainThread:24826 [wandb_init.py:init():1076] run started, returning control to user process
2025-10-28 00:12:24,270 INFO    MainThread:24826 [wandb_run.py:_finish():2275] finishing run grantfwilkins-stanford-university/powertrace-classifier-training/xeip54z2
2025-10-28 00:12:24,270 INFO    MainThread:24826 [wandb_run.py:_atexit_cleanup():2474] got exitcode: 0
2025-10-28 00:12:24,270 INFO    MainThread:24826 [wandb_run.py:_restore():2456] restore
2025-10-28 00:12:24,270 INFO    MainThread:24826 [wandb_run.py:_restore():2462] restore done
2025-10-28 00:12:24,836 INFO    MainThread:24826 [wandb_run.py:_footer_sync_info():3872] logging synced files
