config_id,status,reason,k,feature_set,input_dim,seed,device,best_epoch,best_val_loss,final_train_loss,final_val_loss,num_train_traces,num_val_traces,num_test_traces,num_train_points,gmm_aic,gmm_bic,bic_candidates,checkpoint_path,curve_path,norm_params_path,gmm_params_path
deepseek-r1-distill-70b_A100_tp4,trained,,10,f3,3,42,cuda,493,0.6994545459747314,0.7970589353488042,0.7041350603103638,13,3,2,33088,350469.2832816432,350713.08413442137,"{""10"": {""aic"": 350469.2832816432, ""bic"": 350713.08413442137}, ""12"": {""aic"": 349026.6844463964, ""bic"": 349320.9268549218}, ""6"": {""aic"": 351013.9801472712, ""bic"": 351156.89788855496}, ""8"": {""aic"": 350572.5133231144, ""bic"": 350765.8726201454}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-70b_A100_tp4_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-70b_A100_tp4_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-70b_A100_tp4.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-70b_A100_tp4_k10.json
deepseek-r1-distill-70b_A100_tp8,trained,,10,f3,3,42,cuda,491,0.7875940203666687,0.7354183793067932,0.7888521353403727,12,3,2,30264,337617.66606810316,337858.87977892626,"{""10"": {""aic"": 337617.66606810316, ""bic"": 337858.87977892626}, ""12"": {""aic"": 337348.24626016343, ""bic"": 337639.3662559844}, ""6"": {""aic"": 338098.4223811848, ""bic"": 338239.82352201216}, ""8"": {""aic"": 337803.1173246589, ""bic"": 337994.4247504841}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-70b_A100_tp8_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-70b_A100_tp8_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-70b_A100_tp8.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-70b_A100_tp8_k10.json
deepseek-r1-distill-70b_H100_tp4,trained,,10,f3,3,42,cuda,252,1.0169089287519455,0.8960851771490914,1.0186196714639664,21,4,5,52858,653127.0503740456,653384.4359402434,"{""10"": {""aic"": 653127.0503740456, ""bic"": 653384.4359402434}, ""12"": {""aic"": 652942.9617576333, ""bic"": 653253.599509941}, ""6"": {""aic"": 653702.1828707398, ""bic"": 653853.0640647179}, ""8"": {""aic"": 653292.6291112436, ""bic"": 653496.7624913316}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-70b_H100_tp4_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-70b_H100_tp4_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-70b_H100_tp4.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-70b_H100_tp4_k10.json
deepseek-r1-distill-70b_H100_tp8,trained,,10,f3,3,42,cuda,406,0.7322407066822052,0.7362923182192302,0.7359351217746735,21,4,5,52480,635750.6256321066,636007.8030673915,"{""10"": {""aic"": 635750.6256321066, ""bic"": 636007.8030673915}, ""12"": {""aic"": 635185.1977513905, ""bic"": 635495.5843112172}, ""6"": {""aic"": 642488.8094399024, ""bic"": 642639.5686261039}, ""8"": {""aic"": 638415.0137456646, ""bic"": 638618.9820564078}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-70b_H100_tp8_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-70b_H100_tp8_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-70b_H100_tp8.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-70b_H100_tp8_k10.json
deepseek-r1-distill-8b_A100_tp1,trained,,10,f3,3,42,cuda,355,0.688217282295227,0.6889899730682373,0.688458263874054,15,3,4,37633,295663.50340738276,295911.03686889977,"{""10"": {""aic"": 295663.50340738276, ""bic"": 295911.03686889977}, ""12"": {""aic"": 296318.3500899339, ""bic"": 296617.0973710751}, ""6"": {""aic"": 297415.0259172085, ""bic"": 297560.1317394771}, ""8"": {""aic"": 296342.816888488, ""bic"": 296539.1365303808}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-8b_A100_tp1_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-8b_A100_tp1_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-8b_A100_tp1.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-8b_A100_tp1_k10.json
deepseek-r1-distill-8b_A100_tp2,trained,,10,f3,3,42,cuda,493,1.0014339685440063,0.7457400399904984,1.020603895187378,13,3,2,32605,275270.988985242,275514.36339220696,"{""10"": {""aic"": 275270.988985242, ""bic"": 275514.36339220696}, ""12"": {""aic"": 275195.7355166653, ""bic"": 275489.4632492093}, ""6"": {""aic"": 278440.5370947443, ""bic"": 278583.2048505513}, ""8"": {""aic"": 276496.1044850271, ""bic"": 276689.1255664131}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-8b_A100_tp2_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-8b_A100_tp2_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-8b_A100_tp2.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-8b_A100_tp2_k10.json
deepseek-r1-distill-8b_A100_tp4,trained,,10,f3,3,42,cuda,494,1.0423184037208557,0.9195784399142632,1.0449143846829732,13,3,2,32589,324979.44916405284,325222.8093365788,"{""10"": {""aic"": 324979.44916405284, ""bic"": 325222.8093365788}, ""12"": {""aic"": 324501.07761746884, ""bic"": 324794.7881705174}, ""6"": {""aic"": 325220.50669990527, ""bic"": 325363.166111386}, ""8"": {""aic"": 324857.9220669981, ""bic"": 325050.9318590014}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-8b_A100_tp4_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-8b_A100_tp4_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-8b_A100_tp4.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-8b_A100_tp4_k10.json
deepseek-r1-distill-8b_A100_tp8,trained,,10,f3,3,42,cuda,336,1.101552426815033,0.9636964797973633,1.1092102825641632,11,2,3,27511,290208.384303937,290446.83219884365,"{""10"": {""aic"": 290208.384303937, ""bic"": 290446.83219884365}, ""12"": {""aic"": 290269.81545038195, ""bic"": 290557.5973925106}, ""6"": {""aic"": 293263.6908193337, ""bic"": 293403.4706197962}, ""8"": {""aic"": 292107.08395681315, ""bic"": 292296.1978044977}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-8b_A100_tp8_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-8b_A100_tp8_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-8b_A100_tp8.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-8b_A100_tp8_k10.json
deepseek-r1-distill-8b_H100_tp1,trained,,10,f3,3,42,cuda,226,1.195139318704605,0.7853779367038182,1.2090977430343628,21,4,5,52412,484831.84100168693,485088.98083638697,"{""10"": {""aic"": 484831.84100168693, ""bic"": 485088.98083638697}, ""12"": {""aic"": 484737.6622274118, ""bic"": 485048.00340722216}, ""6"": {""aic"": 485931.14833516633, ""bic"": 486081.8854796456}, ""8"": {""aic"": 485217.40535305534, ""bic"": 485421.343842645}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-8b_H100_tp1_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-8b_H100_tp1_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-8b_H100_tp1.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-8b_H100_tp1_k10.json
deepseek-r1-distill-8b_H100_tp2,trained,,10,f3,3,42,cuda,348,0.7726475745439529,0.8036296424411592,0.7830788046121597,21,4,5,52256,560564.8214162578,560821.8748061351,"{""10"": {""aic"": 560564.8214162578, ""bic"": 560821.8748061351}, ""12"": {""aic"": 560382.4585540786, ""bic"": 560692.6954039305}, ""6"": {""aic"": 560556.30743484, ""bic"": 560706.9939047681}, ""8"": {""aic"": 560342.5866259469, ""bic"": 560546.4565558496}}",results/continuous_v1_gmm_bigru/k10_f3/checkpoints/deepseek-r1-distill-8b_H100_tp2_k10_f3_best.pt,results/continuous_v1_gmm_bigru/k10_f3/training_curves/deepseek-r1-distill-8b_H100_tp2_k10_f3.csv,results/continuous_v1_gmm_bigru/k10_f3/norm_params/deepseek-r1-distill-8b_H100_tp2.json,results/continuous_v1_gmm_bigru/k10_f3/gmms/deepseek-r1-distill-8b_H100_tp2_k10.json
